,date,symbol,open,high,low,close,Volume USD,Volume BTC
2311,2021-06-08 00:00:00,BTC/USD,33572.0,34052.0,31075.0,33402.0,431712912.6466659,12924.76236892
2312,2021-06-09 00:00:00,BTC/USD,33416.0,37499.0,32469.0,37368.0,1007950330.374688,26973.62262831
2313,2021-06-10 00:00:00,BTC/USD,37369.0,38337.0,35816.0,36663.0,350758563.1255177,9567.09934063
2314,2021-06-11 00:00:00,BTC/USD,36680.0,37650.0,35929.0,37338.0,239638059.6374713,6418.07433814
2315,2021-06-12 00:00:00,BTC/USD,37338.0,37461.34593121,34630.0,35564.0,262336285.7514845,7376.45612843
2316,2021-06-13 00:00:00,BTC/USD,35563.58742345,39374.0,34800.0,38998.89297611,350548518.04582584,8988.67868533
2317,2021-06-14 00:00:00,BTC/USD,38998.89297611,40980.0,38732.0,40509.0,394195905.7107284,9731.06977982
2318,2021-06-15 00:00:00,BTC/USD,40509.0,41273.0,39445.88757188,40137.0,312217749.879272,7778.80135235
2319,2021-06-16 00:00:00,BTC/USD,40143.0,40460.0,38121.0,38346.0,260495205.91800556,6793.28237412
2320,2021-06-17 00:00:00,BTC/USD,38345.0,39519.0,37387.0,38073.0,134718245.82947493,3538.41950541
2321,2021-06-18 00:00:00,BTC/USD,38074.0,38184.09866908,35137.0,35845.0,409389286.97600114,11421.09881367
2322,2021-06-19 00:00:00,BTC/USD,35846.0,36447.0,34819.0,35570.0,411407162.8140132,11566.12771476
2323,2021-06-20 00:00:00,BTC/USD,35569.32875053,36226.37661535,33411.0,35631.0,603261267.6099107,16930.79811428
2324,2021-06-21 00:00:00,BTC/USD,35653.0,35832.0,31368.0,31726.38731597,744057146.6600641,23452.31240008
2325,2021-06-22 00:00:00,BTC/USD,31723.19669106,33368.0,29247.0,32572.0,875231079.4597585,26870.65821748
2326,2021-06-23 00:00:00,BTC/USD,32572.01808243,34778.0,31790.0,33691.0,307938059.43566966,9140.06884437
2327,2021-06-24 00:00:00,BTC/USD,33697.29590169,35290.0,32343.0,34665.0,168325385.84314185,4855.77342689
2328,2021-06-25 00:00:00,BTC/USD,34657.0,35495.0,31264.0,31584.73244514,1189853464.651478,37671.79179745
2329,2021-06-26 00:00:00,BTC/USD,31584.0,32661.0,30206.0,32355.66423628,664446210.1975915,20535.69988072
2330,2021-06-27 00:00:00,BTC/USD,32348.0,34794.0,32066.0,34744.0,997592183.1215522,28712.64630214
2331,2021-06-28 00:00:00,BTC/USD,34743.0,35319.0,33897.0,34494.48338075,213077809.3803468,6177.1561275
2332,2021-06-29 00:00:00,BTC/USD,34494.8423285,36600.0,34226.75253341,35922.41743186,198063271.2982764,5513.63982321
2333,2021-06-30 00:00:00,BTC/USD,35918.54133667,36099.0,34428.0,35063.0,120164509.10156356,3427.10290339
2334,2021-07-01 00:00:00,BTC/USD,35062.0,35069.0,32720.0,33554.42277399,192028464.99826175,5722.89579504
2335,2021-07-02 00:00:00,BTC/USD,33519.46744936,33983.0,32700.0,33816.0,173998196.3780045,5145.43992128
2336,2021-07-03 00:00:00,BTC/USD,33818.0,34948.0,33350.0,34682.0,102888650.76534335,2966.62968587
2337,2021-07-04 00:00:00,BTC/USD,34689.0,35950.0,34376.0,35276.0,103344192.40995896,2929.58930746
2338,2021-07-05 00:00:00,BTC/USD,35278.0,35280.0,33126.0,33672.36648837,259828830.1414677,7716.38162798
2339,2021-07-06 00:00:00,BTC/USD,33670.52239391,35196.0,33555.0,34255.0,304350618.9318556,8884.85239912
2340,2021-07-07 00:00:00,BTC/USD,34255.06205944,35091.0,33810.0,33889.0,118812155.24568944,3505.92095505
2341,2021-07-08 00:00:00,BTC/USD,33886.0,33939.0,32063.0,32857.0,469605492.5637259,14292.40321891
2342,2021-07-09 00:00:00,BTC/USD,32846.0,34059.0,32237.0,33769.0,225045733.72522855,6664.27000282
2343,2021-07-10 00:00:00,BTC/USD,33768.0,34242.0,33011.0,33505.02923001,216403689.80031595,6458.84199398
2344,2021-07-11 00:00:00,BTC/USD,33503.0,34590.0,33316.0,34244.0,73683234.74136324,2151.71226321
2345,2021-07-12 00:00:00,BTC/USD,34249.0,34655.0,32600.0,33078.0,278139804.9564293,8408.60405576
2346,2021-07-13 00:00:00,BTC/USD,33077.77262412,33337.0,32190.0,32730.0,131733939.3274254,4024.86829598
2347,2021-07-14 00:00:00,BTC/USD,32729.0,33128.0,31588.0,32822.6431619,170431953.62253922,5192.51154704
2348,2021-07-15 00:00:00,BTC/USD,32821.0,33200.0,31150.0,31890.0,221853217.3944654,6956.82713686
2349,2021-07-16 00:00:00,BTC/USD,31893.73824538,32271.0,31044.0,31428.0,169141113.38205683,5381.86055053
2350,2021-07-17 00:00:00,BTC/USD,31427.0,32000.0,31210.0,31560.0,432613275.575112,13707.6449802
2351,2021-07-18 00:00:00,BTC/USD,31559.0,32453.0,31111.0,31820.0,394928275.406217,12411.32229435
2352,2021-07-19 00:00:00,BTC/USD,31820.47850988,31928.0,30500.0,30865.0,395063565.3841008,12799.72672555
2353,2021-07-20 00:00:00,BTC/USD,30866.0,31079.0,29313.0,29809.0,264644728.3578289,8878.01430299
2354,2021-07-21 00:00:00,BTC/USD,29814.0,32850.0,29523.0,32154.0,265532998.1933739,8258.16378035
2355,2021-07-22 00:00:00,BTC/USD,32154.0,32610.0,31735.0,32320.0,169119412.40246722,5232.65508671
2356,2021-07-23 00:00:00,BTC/USD,32320.26010235,33650.0,32020.0,33650.0,133568321.654477,3969.34091098
2357,2021-07-24 00:00:00,BTC/USD,33650.0,34527.0,33422.0,34279.0,81010061.94876294,2363.25627786
2358,2021-07-25 00:00:00,BTC/USD,34288.0,35444.0,33886.0,35415.0,98488951.89444676,2780.99539445
2359,2021-07-26 00:00:00,BTC/USD,35413.0,40595.0,35233.0,37270.0,608023978.4936262,16314.03215706
2360,2021-07-27 00:00:00,BTC/USD,37265.93349564,39589.0,36418.0,39500.0,239592252.01100495,6065.62663319
2361,2021-07-28 00:00:00,BTC/USD,39490.0,40900.0,38803.0,40017.0,319315594.99079376,7979.49858787
2362,2021-07-29 00:00:00,BTC/USD,40017.0,40623.0,39272.0,40036.0612375,162919501.152546,4069.31891192
2363,2021-07-30 00:00:00,BTC/USD,40040.0,42299.15230804,38343.0,42214.50801313,327886854.3523743,7767.16038596
